Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
13/09/2024,5626.02,30.26,0.54076658,5603.34,7.58,0.135459705,5636.27,40.51,0.723940984,5601.65,5.89,0.105258267
12/09/2024,5595.76,41.63,0.74953233,5557.48,3.35,0.060315477,5600.71,46.58,0.838655199,5535.5,-18.63,-0.33542607
11/09/2024,5554.13,58.61,1.066505081,5496.42,0.9,0.016376976,5560.41,64.89,1.180779981,5406.96,-88.56,-1.611494454
10/09/2024,5495.52,24.47,0.447263322,5490.51,19.46,0.355690407,5497.91,26.86,0.490947807,5441.72,-29.33,-0.536094534
09/09/2024,5471.05,62.63,1.158009178,5442.07,33.65,0.622178011,5484.2,75.78,1.401148579,5434.49,26.07,0.482026174
06/09/2024,5408.42,-94.99,-1.726020776,5507.33,3.92,0.071228566,5522.47,19.06,0.346330729,5402.62,-100.79,-1.83140998
05/09/2024,5503.41,-16.66,-0.301807767,5520.08,0.01,0.000181157,5546.3,26.23,0.475175134,5480.54,-39.53,-0.716114107
04/09/2024,5520.07,-8.86,-0.160248005,5506.68,-22.25,-0.40242868,5552.99,24.06,0.435165575,5503.66,-25.27,-0.45705046
03/09/2024,5528.93,-119.47,-2.115112244,5623.89,-24.51,-0.433928192,5623.89,-24.51,-0.433928192,5504.33,-144.07,-2.550633808
30/08/2024,5648.4,56.44,1.009306218,5612.74,20.78,0.371604947,5651.37,59.41,1.062418186,5581.79,-10.17,-0.181868254
29/08/2024,5591.96,-0.22,-0.003934065,5607.3,15.12,0.270377563,5646.95,54.77,0.979403381,5583.71,-8.47,-0.151461505
28/08/2024,5592.18,-33.62,-0.597603896,5624.51,-1.29,-0.022930072,5627.03,1.23,0.021863557,5560.95,-64.85,-1.152724946
27/08/2024,5625.8,8.96,0.1595203,5602.89,-13.95,-0.248360288,5631.18,14.34,0.255303694,5593.48,-23.36,-0.41589221
26/08/2024,5616.84,-17.77,-0.315372315,5639.66,5.05,0.089624659,5651.62,17.01,0.301884248,5602.34,-32.27,-0.572710445
23/08/2024,5634.61,63.97,1.148342022,5602.49,31.85,0.571747591,5641.82,71.18,1.277770597,5585.16,14.52,0.260652277
22/08/2024,5570.64,-50.21,-0.893281265,5637.77,16.92,0.301022087,5643.22,22.37,0.397982512,5560.95,-59.9,-1.06567512
21/08/2024,5620.85,23.73,0.423968041,5603.09,5.97,0.106661998,5632.68,35.56,0.635326739,5591.57,-5.55,-0.099158138
20/08/2024,5597.12,-11.13,-0.198457629,5602.88,-5.37,-0.095751794,5620.51,12.26,0.218606517,5585.5,-22.75,-0.405652387
19/08/2024,5608.25,54,0.972228474,5557.23,2.98,0.053652608,5608.3,54.05,0.973128685,5550.74,-3.51,-0.063194851
16/08/2024,5554.25,11.03,0.198981819,5530.5,-12.72,-0.229469514,5561.98,18.76,0.338431453,5525.17,-18.05,-0.325623013
15/08/2024,5543.22,88.01,1.61332011,5501.13,45.92,0.841764112,5546.23,91.02,1.668496721,5501.13,45.92,0.841764112
14/08/2024,5455.21,20.78,0.382376809,5442.36,7.93,0.145921467,5463.22,28.79,0.529770372,5415.91,-18.52,-0.34079011
13/08/2024,5434.43,90.04,1.684757288,5376.98,32.59,0.609798312,5436.5,92.11,1.723489491,5376.98,32.59,0.609798312
12/08/2024,5344.39,0.23,0.004303763,5351.88,7.72,0.144456753,5371.2,27.04,0.505972875,5324.37,-19.79,-0.370310769
09/08/2024,5344.16,24.85,0.467165854,5314.66,-4.65,-0.087417353,5358.67,39.36,0.739945594,5300.84,-18.47,-0.347225486
08/08/2024,5319.31,119.81,2.304260025,5252.57,53.07,1.020675065,5328.03,128.53,2.471968459,5233.85,34.35,0.660640446
07/08/2024,5199.5,-40.53,-0.773468854,5293.13,53.1,1.013352977,5330.64,90.61,1.729188573,5195.54,-44.49,-0.849040941
06/08/2024,5240.03,53.7,1.035414252,5206.42,20.09,0.387364475,5312.34,126.01,2.429656424,5193.56,7.23,0.139404936
05/08/2024,5186.33,-160.23,-2.996880237,5151.14,-195.42,-3.65506045,5250.89,-95.67,-1.78937485,5119.26,-227.3,-4.251331697
02/08/2024,5346.56,-100.12,-1.838183995,5376.63,-70.05,-1.286104563,5383.89,-62.79,-1.152812355,5302.03,-144.65,-2.655746253
01/08/2024,5446.68,-75.62,-1.369356971,5537.84,15.54,0.281404487,5566.16,43.86,0.794234286,5410.42,-111.88,-2.025967441
31/07/2024,5522.3,85.86,1.579342364,5505.59,69.15,1.271972099,5551.51,115.07,2.116642509,5493.75,57.31,1.054182516
30/07/2024,5436.44,-27.1,-0.496015404,5478.73,15.19,0.27802487,5489.46,25.92,0.474417685,5401.7,-61.84,-1.131866885
29/07/2024,5463.54,4.44,0.081332088,5476.55,17.45,0.319649759,5487.74,28.64,0.524628602,5444.44,-14.66,-0.268542434
26/07/2024,5459.1,59.88,1.109049085,5433.67,34.45,0.638055126,5488.32,89.1,1.650238368,5430.7,31.48,0.583047181
25/07/2024,5399.22,-27.91,-0.514268131,5428.7,1.57,0.028928734,5491.59,64.46,1.187736428,5390.95,-36.18,-0.666650698
24/07/2024,5427.13,-128.61,-2.314903145,5505.84,-49.9,-0.898170181,5508.04,-47.7,-0.858571495,5419.98,-135.76,-2.443598873
23/07/2024,5555.74,-8.67,-0.155811667,5565.3,0.89,0.015994508,5585.34,20.93,0.376140507,5550.9,-13.51,-0.242793036
22/07/2024,5564.41,59.41,1.079200727,5544.54,39.54,0.718256131,5570.36,65.36,1.187284287,5529.04,24.04,0.436693915
19/07/2024,5505,-39.59,-0.714029351,5543.37,-1.22,-0.02200343,5557.5,12.91,0.232839579,5497.04,-47.55,-0.857592717
18/07/2024,5544.59,-43.68,-0.781637251,5608.56,20.29,0.363081956,5614.05,25.78,0.461323451,5522.81,-65.46,-1.171382199
17/07/2024,5588.27,-78.93,-1.39275127,5610.07,-57.13,-1.008081592,5622.49,-44.71,-0.788925748,5584.81,-82.39,-1.453804348
16/07/2024,5667.2,35.98,0.638937921,5644.09,12.87,0.228547277,5669.67,38.45,0.68280053,5639.02,7.8,0.138513502
15/07/2024,5631.22,15.87,0.282618181,5638.16,22.81,0.406207983,5666.94,51.59,0.918731691,5614.75,-0.6,-0.010684997
12/07/2024,5615.35,30.81,0.551701662,5590.76,6.22,0.111378914,5655.56,71.02,1.271725156,5590.44,5.9,0.105648809
11/07/2024,5584.54,-49.37,-0.876300828,5635.21,1.3,0.023074561,5642.45,8.54,0.151582116,5576.53,-57.38,-1.018475624
10/07/2024,5633.91,56.93,1.020803374,5591.26,14.28,0.256052559,5635.39,58.41,1.047341034,5586.44,9.46,0.169625855
09/07/2024,5576.98,4.13,0.074109298,5584.24,11.39,0.204383753,5590.75,17.9,0.321200104,5574.57,1.72,0.030863921
08/07/2024,5572.85,5.66,0.101667089,5572.75,5.56,0.09987085,5583.11,15.92,0.28596114,5562.51,-4.68,-0.084063953
05/07/2024,5567.19,30.17,0.544877931,5537.91,0.89,0.016073628,5570.33,33.31,0.601587135,5531.63,-5.39,-0.097344781
