Date,PX_LAST,PX_VOLUME
17/08/2023,4370.36,585778068
16/08/2023,4404.33,525598291
15/08/2023,4437.86,531233834
14/08/2023,4489.72,540654127
11/08/2023,4464.05,482054814
10/08/2023,4468.83,523335585
09/08/2023,4467.71,564332252
08/08/2023,4499.38,567399064
07/08/2023,4518.44,539273025
04/08/2023,4478.03,634699045
03/08/2023,4501.89,625279961
02/08/2023,4513.39,694100634
01/08/2023,4576.73,584419338
31/07/2023,4588.96,823221650
28/07/2023,4582.23,647040771
27/07/2023,4537.41,713294041
26/07/2023,4566.75,614277896
25/07/2023,4567.46,596987475
24/07/2023,4554.64,550652118
21/07/2023,4536.34,1153125221
20/07/2023,4534.87,689307647
19/07/2023,4565.72,680808092
18/07/2023,4554.98,655517936
17/07/2023,4522.79,581299258
14/07/2023,4505.42,597864650
13/07/2023,4510.04,581040305
12/07/2023,4472.16,644634750
11/07/2023,4439.26,570554493
10/07/2023,4409.53,617520957
07/07/2023,4398.95,639272759
06/07/2023,4411.59,624118639
05/07/2023,4446.82,595877890
03/07/2023,4455.59,335951859
30/06/2023,4450.38,772750506
29/06/2023,4396.44,556762813
28/06/2023,4376.86,596630013
27/06/2023,4378.41,610395451
26/06/2023,4328.82,615483822
23/06/2023,4348.33,1101923989
22/06/2023,4381.89,559965350
21/06/2023,4365.69,701430183
20/06/2023,4388.71,725181708
16/06/2023,4409.59,2044982177
15/06/2023,4425.84,748067342
14/06/2023,4372.59,727219793
13/06/2023,4369.01,658258590
12/06/2023,4338.93,661270659
09/06/2023,4298.86,578218954
08/06/2023,4293.93,592750944
07/06/2023,4267.52,742190356
06/06/2023,4283.85,580817567
05/06/2023,4273.79,597188354
02/06/2023,4282.37,705523933
01/06/2023,4221.02,720570546
31/05/2023,4179.83,1761648198
30/05/2023,4205.52,682080666
26/05/2023,4205.45,696669744
25/05/2023,4151.28,742775323
24/05/2023,4115.24,582115820
23/05/2023,4145.58,625264585
22/05/2023,4192.63,558619806
19/05/2023,4191.98,685613012
18/05/2023,4198.05,653188151
17/05/2023,4158.77,665657777
16/05/2023,4109.9,561238421
15/05/2023,4136.28,542642887
12/05/2023,4124.08,551865585
11/05/2023,4130.62,590354540
10/05/2023,4137.64,630831055
09/05/2023,4119.17,580173305
08/05/2023,4138.12,541515806
05/05/2023,4136.25,661491696
04/05/2023,4061.22,726885180
03/05/2023,4090.75,680617480
02/05/2023,4119.58,684232831
01/05/2023,4167.87,601421718
28/04/2023,4169.48,787427503
27/04/2023,4135.35,702371298
26/04/2023,4055.99,687655359
25/04/2023,4071.63,651999594
24/04/2023,4137.04,546039579
